paper_id,doi,title,publication_year,publication_date,cited_by_count,type,authors,concepts
p0010,https://doi.org/10.1109/cvpr.2005.174,Hierarchical Part-Based Visual Object Categorization,2005,7/27/2005,135,article,Guillaume Bouchard; Bill Triggs,Computer science; Artificial intelligence; Robustness (evolution); Categorization; Generative model
p0011,https://doi.org/10.1214/08-aoas187,"For objective causal inference, design trumps analysis",2008,9/1/2008,581,article,Donald B. Rubin,Causal inference; Observational study; Randomized experiment; Covariate; Computer science
p0012,https://doi.org/10.48550/arxiv.1609.07843,Pointer Sentinel Mixture Models,2016,1/1/2016,674,preprint,Stephen Merity; Caiming Xiong; James T. Bradbury; Richard Socher,Perplexity; Softmax function; Treebank; Computer science; Language model
p0013,https://doi.org/10.18653/v1/w19-8403,A Survey of Explainable AI Terminology,2019,1/1/2019,59,article,Miruna Clinciu; Helen Hastie,Terminology; Computer science; Natural language processing; Artificial intelligence; Information retrieval
p0014,https://doi.org/10.48550/arxiv.1810.03292,Sanity Checks for Saliency Maps,2018,1/1/2018,636,preprint,Julius Adebayo; Justin Gilmer; Michael Muelly; Ian Goodfellow; Moritz Hardt,Computer science; Debugging; Artificial intelligence; Convolutional neural network; Outlier
p0015,https://doi.org/10.1016/0378-3758(89)90004-9,Optimal Bayesian design applied to logistic regression experiments,1989,2/1/1989,456,article,Kathryn Chaloner; Kinley Larntz,Mathematics; Range (aeronautics); Optimal design; Logistic distribution; Design of experiments
p0016,https://doi.org/10.1016/s0169-2070(03)00003-7,Exponential smoothing with a damped multiplicative trend,2003,10/1/2003,289,article,James W. Taylor,Exponential smoothing; Multiplicative function; Smoothing; Series (stratigraphy); Exponential function
p0017,https://doi.org/10.1109/tgrs.2004.842481,Investigation of the random forest framework for classification of hyperspectral data,2005,2/22/2005,1099,article,Jeroen van der Ham; Yangchi Chen; Melba M. Crawford; Joydeep Ghosh,Random forest; Hyperspectral imaging; Computer science; Subspace topology; Random subspace method
p0018,https://doi.org/10.1103/physreve.71.026101,Joint probability distributions for a class of non-Markovian processes,2005,2/1/2005,84,article,Adrian Baule; R. Friedrich,Joint probability distribution; Mathematics; Probability distribution; Markov process; Stable process
p0019,https://doi.org/10.1109/cvpr.2010.5539965,Face recognition based on image sets,2010,6/1/2010,501,preprint,Hakan Çevıkalp; Bill Triggs,Artificial intelligence; Pattern recognition (psychology); Affine transformation; Affine hull; Face (sociological concept)
p0020,https://doi.org/10.1007/11523468_91,Influential Nodes in a Diffusion Model for Social Networks,2005,1/1/2005,942,book-chapter,David Kempe; Jon Kleinberg; Éva Tardos,Computer science; Diffusion; Thermodynamics; Physics
p0021,https://doi.org/10.1007/s10844-011-0183-2,Community-based anomaly detection in evolutionary networks,2011,10/18/2011,113,article,Zhengzhang Chen; William Hendrix; Nagiza F. Samatova,Computer science; Correctness; Anomaly detection; Scalability; Community structure
p0022,https://doi.org/10.1007/978-3-540-49774-5_2,Particle Swarm Optimization in Dynamic Environments,2007,1/1/2007,190,book-chapter,Tim Blackwell,Particle swarm optimization; Computer science; Swarm behaviour; Multi-swarm optimization; Mathematical optimization
p0023,https://doi.org/10.1007/978-3-642-33786-4_35,“Clustering by Composition” – Unsupervised Discovery of Image Categories,2012,1/1/2012,69,book-chapter,Alon Faktor; Michal Irani,Computer science; Cluster analysis; Benchmark (surveying); Image (mathematics); Artificial intelligence
p0024,https://doi.org/10.1609/aaai.v30i1.10449,Face Model Compression by Distilling Knowledge from Neurons,2016,3/5/2016,213,article,Ping Luo; Zhenyao Zhu; Ziwei Liu; Xiaogang Wang; Xiaoou Tang,Computer science; Inference; Face (sociological concept); Artificial intelligence; Computation
p0025,https://doi.org/10.19173/irrodl.v18i3.3108,"Open Educational Resources: Policy, Costs, and Transformation",2017,5/12/2017,37,article,Yoram M. Kalman,Transformation (genetics); Open educational resources; Computer science; Business; World Wide Web
p0026,https://doi.org/10.48550/arxiv.1803.07728,Unsupervised Representation Learning by Predicting Image Rotations,2018,1/1/2018,1543,preprint,Spyros Gidaris; Praveer Singh; Nikos Komodakis,Pascal (unit); Artificial intelligence; Computer science; Unsupervised learning; Convolutional neural network
p0027,https://doi.org/10.1007/s10994-009-5108-8,Cutting-plane training of structural SVMs,2009,5/8/2009,995,article,Thorsten Joachims; Thomas Finley; Chun-Nam Yu,Support vector machine; Computer science; Bottleneck; Artificial intelligence; Cutting-plane method
p0028,https://doi.org/10.2307/2553898,Convergence of Stochastic Processes.,1985,11/1/1985,2399,article,Peter M. Robinson; David Pollard,Convergence (economics); Mathematical economics; Applied mathematics; Economics; Econometrics
p0029,https://doi.org/10.1038/498255a,The big challenges of big data,2013,6/11/2013,1171,article,Vivien Marx,Big data; Data science; Computer science; Data mining
p0030,https://doi.org/10.1007/s10676-016-9387-z,Should we welcome robot teachers?,2016,2/10/2016,218,article,Amanda Sharkey,Robot; Deception; Accountability; Social robot; Psychology
p0031,https://doi.org/10.48550/arxiv.2106.15282,Cascaded Diffusion Models for High Fidelity Image Generation,2021,1/1/2021,356,preprint,Jonathan Ho; Chitwan Saharia; William Chan; David J. Fleet; Mohammad Norouzi,Pipeline (software); Computer science; Fidelity; Artificial intelligence; Diffusion
p0032,https://doi.org/10.1162/pres.1997.6.4.355,A Survey of Augmented Reality,1997,8/1/1997,9033,article,Ronald Azuma,Augmented reality; Entertainment; Virtual reality; Computer science; Human–computer interaction
p0033,https://doi.org/10.1109/cvpr46437.2021.01625,Bottleneck Transformers for Visual Recognition,2021,6/1/2021,1004,article,Aravind Srinivas; Tsung-Yi Lin; Niki Parmar; Jonathon Shlens; Pieter Abbeel,Computer science; Bottleneck; Botnet; Segmentation; Artificial intelligence
p0034,https://doi.org/10.1109/iccv48922.2021.00675,Multiscale Vision Transformers,2021,10/1/2021,803,article,Haoqi Fan; Bo Xiong; Karttikeya Mangalam; Yanghao Li; Zhicheng Yan,Computer science; Computation; Transformer; Artificial intelligence; Computer vision
p0035,https://doi.org/10.1561/2200000056,An Introduction to Variational Autoencoders,2019,1/1/2019,1681,article,Diederik P. Kingma; Max Welling,Latent variable; Inference; Artificial intelligence; Computer science; Machine learning
p0036,https://doi.org/10.1109/cvpr.2016.494,DenseCap: Fully Convolutional Localization Networks for Dense Captioning,2016,6/1/2016,1200,preprint,Justin Johnson; Andrej Karpathy; Li Fei-Fei,Closed captioning; Computer science; Convolutional neural network; Artificial intelligence; Task (project management)
p0037,https://doi.org/10.1561/2200000048,An Introduction to Matrix Concentration Inequalities,2015,1/1/2015,367,article,Joel A. Tropp,Inequality; Matrix (chemical analysis); Mathematics; Mathematical economics; Chemistry
p0038,https://doi.org/10.1109/tpami.2003.1227989,Adaptive sparseness for supervised learning,2003,9/1/2003,536,article,Mário A. T. Figueiredo,Hyperparameter; Artificial intelligence; Machine learning; Prior probability; Computer science
p0039,https://doi.org/10.48550/arxiv.2501.05407,On-line Policy Improvement using Monte-Carlo Search,2025,1/9/2025,214,preprint,Gerald Tesauro; Gregory R. Galperin,Monte Carlo method; Line (geometry); Statistical physics; Computer science; Econometrics
p0040,https://doi.org/10.1016/j.nbd.2015.11.023,Electrocorticography reveals beta desynchronization in the basal ganglia-cortical loop during rest tremor in Parkinson's disease,2015,11/27/2015,89,article,Salman E. Qasim; Coralie de Hemptinne; Nicole C. Swann; Svjetlana Miocinovic; Jill L. Ostrem,Deep brain stimulation; Neuroscience; Electrocorticography; Subthalamic nucleus; Basal ganglia
p0041,https://doi.org/10.18653/v1/d19-1051,Neural Text Summarization: A Critical Evaluation,2019,1/1/2019,338,article,Wojciech Kryściński; Nitish Shirish Keskar; Bryan McCann; Caiming Xiong; Richard Socher,Automatic summarization; Computer science; Natural language processing; Artificial intelligence; Joint (building)
p0042,https://doi.org/10.4103/ijo.ijo_1241_20,Sustaining academics during COVID-19 pandemic: The role of online teaching-learning,2020,1/1/2020,218,article,Soujanya Kaup; Rashmi Jain; Siddharudha Shivalli; Suresh K. Pandey; Soumya Kaup,Coronavirus disease 2019 (COVID-19); Pandemic; Medicine; 2019-20 coronavirus outbreak; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)
p0043,https://doi.org/10.1177/1536867x0800700403,Causal Inference with Observational Data,2007,12/1/2007,326,article,Austin Nichols,Causal inference; Inference; Observational study; Computer science; Econometrics
p0044,https://doi.org/10.1162/089976698300017368,Category Learning Through Multimodality Sensing,1998,7/1/1998,103,article,Virginia R. de; Dana H. Ballard,Modalities; Computer science; Artificial neural network; Contrast (vision); Stimulus modality
p0045,https://doi.org/10.1101/258814,Modeling Polypharmacy Side Effects with Graph Convolutional Networks,2018,2/2/2018,74,preprint,Marinka Żitnik; Monica Agrawal; Jure Leskovec,Polypharmacy; Drug; Medicine; Side effect (computer science); Graph
p0046,https://doi.org/10.18632/oncotarget.20365,MLACP: machine-learning-based prediction of anticancer peptides,2017,8/19/2017,238,article,Balachandran Manavalan; Shaherin Basith; Tae Hwan Shin; Sun Choi; Myeong Ok Kim,Random forest; Support vector machine; Artificial intelligence; Machine learning; Computer science
p0047,https://doi.org/10.1093/nar/gkt1057,NPInter v2.0: an updated database of ncRNA interactions,2013,11/11/2013,150,article,Jiao Yuan; Wei Wu; Chaoyong Xie; Guoguang Zhao; Yi Zhao,Biology; Non-coding RNA; Computational biology; Genome; Gene
p0048,https://doi.org/10.1109/access.2019.2896880,Speech Recognition Using Deep Neural Networks: A Systematic Review,2019,1/1/2019,985,review,Ali Bou Nassif; Ismail Shahin; Imtinan Attili; Mohammad Azzeh; Khaled Shaalan,Computer science; Speech recognition; Artificial neural network; Artificial intelligence
p0049,https://doi.org/10.48550/arxiv.2106.08254,BEiT: BERT Pre-Training of Image Transformers,2021,1/1/2021,826,preprint,Hangbo Bao; Dong Li; Furu Wei,Computer science; Encoder; Transformer; Artificial intelligence; Pixel
p0050,https://doi.org/10.1109/cvpr.2019.01298,PointPillars: Fast Encoders for Object Detection From Point Clouds,2019,6/1/2019,3024,article,Alex Lang; Sourabh Vora; Holger Caesar; Lubing Zhou; Jiong Yang,Encoder; Point cloud; Computer science; Object detection; Encoding (memory)
p0051,https://doi.org/10.1109/tkde.2005.66,Toward integrating feature selection algorithms for classification and clustering,2005,3/7/2005,2622,article,Huan Liu; Lei Yu,Feature selection; Computer science; Cluster analysis; Data mining; Feature (linguistics)
p0052,https://doi.org/10.1016/j.neucom.2018.09.040,Deep-FS: A feature selection algorithm for Deep Boltzmann Machines,2018,9/22/2018,74,article,Aboozar Taherkhani; Georgina Cosma; T.M. McGinnity,Boltzmann machine; Restricted Boltzmann machine; Artificial intelligence; Deep learning; MNIST database
p0053,https://doi.org/10.3115/v1/n15-1104,Normalized Word Embedding and Orthogonal Transform for Bilingual Word Translation,2015,1/1/2015,423,article,Xing Chao; Dong Wang; Chao Liu; Yiye Lin,Word (group theory); Computer science; Translation (biology); Natural language processing; Speech recognition
p0054,https://doi.org/10.1037//0003-066x.52.6.613,A threat in the air: How stereotypes shape intellectual identity and performance.,1997,1/1/1997,4612,article,Claude M. Steele,Stereotype threat; Psychology; Disadvantage; Social psychology; Identification (biology)
p0055,https://doi.org/10.1136/bmj.308.6928.568,Reducing hospital admission through computer supported education for asthma patients,1994,2/26/1994,179,article,Liesl M. Osman; M Abdalla; J A G Beattie; Sue Ross; Ian Russell,Medicine; Asthma; Medical prescription; Confidence interval; Outpatient clinic
p0056,https://doi.org/10.1016/j.neuroimage.2010.09.025,A reproducible evaluation of ANTs similarity metric performance in brain image registration,2010,9/18/2010,4222,article,Brian Avants; Nicholas J. Tustison; Gang Song; Philip A. Cook; Arno Klein,Jaccard index; Computer science; Artificial intelligence; Affine transformation; Spatial normalization
p0057,https://doi.org/10.1371/journal.pcbi.1000837,A Comprehensive Benchmark of Kernel Methods to Extract Protein–Protein Interactions from Literature,2010,7/1/2010,181,article,Domonkos Tikk; Philippe Thomas; Peter Palaga; Jörg Hakenberg; Ulf Leser,Computer science; Artificial intelligence; Benchmarking; Machine learning; Natural language processing
p0058,https://doi.org/10.1137/090775622,Parameter and State Model Reduction for Large-Scale Statistical Inverse Problems,2010,1/1/2010,243,article,Chad Lieberman; Karen Willcox; Omar Ghattas,Mathematics; Reduction (mathematics); Inverse problem; Parametric statistics; Projection (relational algebra)
p0059,https://doi.org/10.1145/1639714.1639788,Recommenders' influence on buyers' decision process,2009,10/23/2009,17,article,Sylvain Castagnos; Nicolas Jones; Pearl Pu,Recommender system; Computer science; Product (mathematics); Process (computing); Set (abstract data type)
p0060,https://doi.org/10.4310/cag.2000.v8.n5.a2,Higher eigenvalues and isoperimetric inequalities on Riemannian manifolds and graphs,2000,1/1/2000,79,article,Fan Chung; Alexander Grigor’yan; Shing–Tung Yau,Isoperimetric inequality; Mathematics; Eigenvalues and eigenvectors; Pure mathematics; Inequality
p0061,https://doi.org/10.1007/978-3-642-33718-5_25,Semi-intrinsic Mean Shift on Riemannian Manifolds,2012,1/1/2012,24,book-chapter,Rui Caseiro; João F. Henriques; Pedro Martins; Jorge Batista,Computer science; Riemannian geometry; Geometry; Mathematics
p0062,https://doi.org/10.48550/arxiv.1806.09025,Considerations for a PAP Smear Image Analysis System with CNN Features,2018,1/1/2018,14,preprint,Srishti Gautam; K. K. Harinarayan; Nirmal Jith; Anil Kumar Sao; Arnav Bhavsar,Artificial intelligence; Segmentation; Computer science; Pattern recognition (psychology); Transfer of learning
p0063,https://doi.org/10.1016/j.acha.2010.04.005,Wavelets on graphs via spectral graph theory,2010,4/29/2010,2029,article,David K. Hammond; Pierre Vandergheynst; Rémi Gribonval,Mathematics; Spectral graph theory; Wavelet; Integral graph; Laplacian matrix
p0064,https://doi.org/10.1109/cvprw.2019.00201,Deep Anomaly Detection for Generalized Face Anti-Spoofing,2019,6/1/2019,59,article,Daniel Pérez‐Cabo; David Jiménez‐Cabello; Artur Costa‐Pazo; Roberto J. López-Sastre,Discriminative model; Computer science; Softmax function; Artificial intelligence; Machine learning
p0065,https://doi.org/10.1016/s0022-3115(98)00822-8,Erosion/redeposition analysis: status of modeling and code validation for semi-detached tokamak edge plasmas,1999,3/1/1999,50,article,J.N. Brooks; D. A. Alman; G. Federici; D. N. Ruzic; D.G. Whyte,Divertor; Beryllium; Sputtering; Carbon fibers; Erosion
p0066,https://doi.org/10.1103/physrevlett.108.058301,Fast and Accurate Modeling of Molecular Atomization Energies with Machine Learning,2012,1/31/2012,2112,article,Matthias Rupp; Alexandre Tkatchenko; Klaus‐Robert Müller; O. Anatole von Lilienfeld,Computer science; Statistical physics; Physics
p0067,https://doi.org/10.29333/ejecs/388,The Perceptions of Primary School Teachers of Online Learning during the COVID-19 Pandemic Period: A Case Study in Indonesia,2020,7/4/2020,1076,article,Rasmitadila Rasmitadila; Rusi Rusmiati Aliyyah; Reza Rachmadtullah; Achmad Samsudin; Ernawulan Syaodih,Thematic analysis; Curriculum; Pandemic; Perception; Coronavirus disease 2019 (COVID-19)
p0068,https://doi.org/10.1098/rstb.2016.0003,‘Bodily precision’: a predictive coding account of individual differences in interoceptive accuracy,2016,10/11/2016,236,article,Vivien Ainley; Matthew A J Apps; Aikaterini Fotopoulou; Manos Tsakiris,Predictive coding; Coding (social sciences); Computer science; Accuracy and precision; Artificial intelligence
p0069,https://doi.org/10.1007/bf00992697,Practical issues in temporal difference learning,1992,5/1/1992,768,article,Gerald Tesauro,Computer science; Connectionism; Perspective (graphical); Temporal difference learning; Artificial intelligence
p0070,https://doi.org/10.18653/v1/w17-3529,Data Augmentation for Visual Question Answering,2017,1/1/2017,130,article,Kushal Kafle; Mohammed Yousefhussien; Christopher Kanan,Question answering; Computer science; Artificial intelligence; Artificial neural network; Generative grammar
p0071,https://doi.org/10.1587/transinf.e94.d.1917,Adaptive Online Prediction Using Weighted Windows,2011,1/1/2011,16,article,Shin-ichi Yoshida; Kohei Hatano; Eiji Takimoto; Masayuki Takeda,Computer science; Hindsight bias; Sliding window protocol; Online algorithm; Online learning
p0072,https://doi.org/10.1109/tsmcb.2003.817026,A Formal Framework for Positive and Negative Detection Schemes,2004,2/1/2004,197,article,Fernando Esponda; Stephanie Forrest; Paul Helman,Anomaly detection; Matching (statistics); Set (abstract data type); Crossover; Computer science
p0073,https://doi.org/10.1109/icra.2015.7139361,Real-time grasp detection using convolutional neural networks,2015,5/1/2015,829,article,Joseph Redmon; Anelia Angelova,GRASP; Computer science; Bounding overwatch; Convolutional neural network; Artificial intelligence
p0074,https://doi.org/10.2333/bhmk.29.81,Beyond SEM: General Latent Variable Modeling,2002,1/1/2002,1006,article,Bengt Muthén,Latent class model; Latent variable; Latent variable model; Structural equation modeling; Local independence
p0075,https://doi.org/10.3389/fnins.2014.00229,Deep learning for neuroimaging: a validation study,2014,8/20/2014,570,article,Sergey M. Plis; Devon Hjelm; Ruslan Salakhutdinov; Elena A. Allen; H. Jeremy Bockholt,Deep learning; Artificial intelligence; Computer science; Neuroimaging; Machine learning
p0076,https://doi.org/10.1109/iccv.2017.629,StackGAN: Text to Photo-Realistic Image Synthesis with Stacked Generative Adversarial Networks,2017,10/1/2017,2497,article,Han Zhang; Tao Xu; Hongsheng Li; Shaoting Zhang; Xiaogang Wang,Computer science; Benchmark (surveying); Generative grammar; Object (grammar); Sketch
p0077,https://doi.org/10.1109/tccn.2017.2725277,Online Learning for Offloading and Autoscaling in Energy Harvesting Mobile Edge Computing,2017,7/10/2017,361,article,Jie Xu; Lixing Chen; Shaolei Ren,Computer science; Reinforcement learning; Mobile edge computing; Edge computing; Cloud computing
p0078,https://doi.org/10.1109/slt.2012.6424228,Context dependent recurrent neural network language model,2012,12/1/2012,595,article,Tomáš Mikolov; Geoffrey Zweig,Perplexity; Treebank; Computer science; Language model; Recurrent neural network
p0079,https://doi.org/10.1007/bf01708548,Handbuch der physiologischen Optik,1896,1896-12-01,1955,article,P. Cz.,Physics
p0080,https://doi.org/10.1109/cvpr.2016.266,Patch-Based Convolutional Neural Network for Whole Slide Tissue Image Classification,2016,6/1/2016,797,article,Le Hou; Dimitris Samaras; Tahsin Kurç; Yi Gao; James Davis,Discriminative model; Convolutional neural network; Computer science; Artificial intelligence; Pattern recognition (psychology)
p0081,https://doi.org/10.1016/0933-3657(94)00029-r,An intelligent interactive system for delivering individualized information to patients,1995,4/1/1995,107,article,Bruce G. Buchanan; Johanna D. Moore; Diana E. Forsythe; Giuseppe Carenini; Stellan Ohlsson,Terminology; Computer science; Knowledge base; Migraine; Health informatics
p0082,https://doi.org/10.1007/s10817-013-9286-5,Premise Selection for Mathematics by Corpus Analysis and Kernel Methods,2013,4/23/2013,126,article,Jesse Alama; Tom Heskes; Daniel Kühlwein; Evgeni Tsivtsivadze; Josef Urban,Premise; Computer science; Benchmark (surveying); Mathematical proof; Selection (genetic algorithm)
p0083,https://doi.org/10.1109/lra.2018.2852779,More Than a Feeling: Learning to Grasp and Regrasp Using Vision and Touch,2018,7/4/2018,157,article,Roberto Calandra; Andrew Owens; Dinesh Jayaraman; Justin Lin; Wenzhen Yuan,GRASP; Computer science; Artificial intelligence; Tactile sensor; Process (computing)
p0084,https://doi.org/10.1109/tcyb.2017.2702343,Locally Weighted Ensemble Clustering,2017,5/22/2017,326,article,Dong Huang; Chang‐Dong Wang; Jianhuang Lai,Cluster analysis; Weighting; Computer science; Data mining; Exploit
p0085,https://doi.org/10.1109/cvpr42600.2020.01229,Self-Supervised Equivariant Attention Mechanism for Weakly Supervised Semantic Segmentation,2020,6/1/2020,575,article,Yude Wang; Jie Zhang; Meina Kan; Shiguang Shan; Xilin Chen,Computer science; Exploit; Pascal (unit); Artificial intelligence; Segmentation
p0086,https://doi.org/10.1111/j.1467-9892.2008.00600.x,Transformations and seasonal adjustment,2008,12/28/2008,18,article,Tommaso Proietti; Marco Riani,Univariate; Mathematics; Orthogonality; Transformation (genetics); Series (stratigraphy)
p0087,https://doi.org/10.1186/s12859-017-1898-z,Deep learning architectures for multi-label classification of intelligent health risk prediction,2017,12/1/2017,146,article,Andrew S. Maxwell; Runzhi Li; Bei Yang; Heng Weng; Aihua Ou,Computer science; Deep learning; Artificial intelligence; Machine learning; Multi-label classification
p0088,https://doi.org/10.1162/coli_a_00049,Lexicon-Based Methods for Sentiment Analysis,2011,4/5/2011,3040,article,Maite Taboada; Julian Brooke; Milan Tofiloski; Kimberly Voll; Manfred Stede,Computer science; Sentiment analysis; Lexicon; Polarity (international relations); Natural language processing
p0089,https://doi.org/10.1016/j.neucom.2018.01.007,Fine-grained attention mechanism for neural machine translation,2018,1/31/2018,193,article,Heeyoul Choi; Kyunghyun Cho; Yoshua Bengio,Machine translation; Computer science; Mechanism (biology); Translation (biology); Artificial intelligence
p0090,https://doi.org/10.1016/b978-0-12-416743-8.00016-6,Nature-Inspired Optimization Algorithms,2014,1/1/2014,696,book-chapter,,Computer science; Algorithm; Optimization algorithm; Mathematical optimization; Mathematics
p0091,https://doi.org/10.1145/3238147.3238202,DeepGauge: multi-granularity testing criteria for deep learning systems,2018,8/20/2018,311,preprint,Lei Ma; Felix Juefei-Xu; Fuyuan Zhang; Jiyuan Sun; Minhui Xue,Computer science; Interpretability; Generality; Testbed; Granularity
p0092,https://doi.org/10.2196/17984,Clinical Text Data in Machine Learning: Systematic Review,2020,3/31/2020,258,review,‪Irena Spasić; Goran Nenadić,Machine learning; Computer science; Artificial intelligence; Natural language processing; Bottleneck
p0093,https://doi.org/10.2967/jnumed.109.061853,PET/MRI: Paving the Way for the Next Generation of Clinical Multimodality Imaging Applications,2010,2/11/2010,414,article,Bernd J. Pichler; Armin Kolb; Thomas Nägele; Heinz-Peter Schlemmer,Multimodality; Positron emission tomography; Magnetic resonance imaging; Molecular imaging; Medicine
p0094,https://doi.org/10.1016/j.aiopen.2022.03.001,Data augmentation approaches in natural language processing: A survey,2022,1/1/2022,203,article,Bohan Li; Yutai Hou; Wanxiang Che,Computer science; Frame (networking); Artificial intelligence; Diversity (politics); Scarcity
p0095,https://doi.org/10.1016/j.spl.2014.06.015,Bayesian dynamic financial networks with time-varying predictors,2014,6/20/2014,27,article,Daniele Durante; David B. Dunson,Inference; Financial crisis; Bayesian inference; Econometrics; Bayesian probability
p0096,https://doi.org/10.3386/w11628,Rising Wage Inequality: The Role of Composition and Prices,2005,9/1/2005,188,report,David Autor; Lawrence F. Katz; Melissa S. Kearney,Composition (language); Inequality; Wage inequality; Economics; Wage
p0097,https://doi.org/10.3386/w6586,Causal Effects in Non-Experimental Studies: Re-Evaluating the Evaluation of Training Programs,1998,6/1/1998,646,report,Rajeev Dehejia; Sadek Wahba,Training (meteorology); Computer science; Geography; Meteorology
p0098,https://doi.org/10.18653/v1/2020.acl-main.740,Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks,2020,1/1/2020,1653,article,Suchin Gururangan; Ana Marasović; Swabha Swayamdipta; Kyle Lo; Iz Beltagy,Computer science; Task (project management); Domain (mathematical analysis); Variety (cybernetics); Selection (genetic algorithm)
p0099,https://doi.org/10.1038/538311a,There is a blind spot in AI research,2016,10/1/2016,402,article,Kate Crawford; Ryan Calo,Blind spot; Computer science; Artificial intelligence
p0100,https://doi.org/10.1109/ijcnn.2015.7280790,Detecting anomalous structures by convolutional sparse models,2015,7/1/2015,52,article,Diego Carrera; Giacomo Boracchi; Alessandro Foi; Brendt Wohlberg,Computer science; Pattern recognition (psychology); Anomaly detection; Outlier; Artificial intelligence
p0101,https://doi.org/10.1038/087345a0,An Introduction to the Theory of Statistics,1911,9/1/1911,4590,article,,Subject (documents); Simple (philosophy); Face (sociological concept); Set (abstract data type); Computer science
p0102,https://doi.org/10.1186/s13014-019-1339-4,Predicting acute radiation induced xerostomia in head and neck Cancer using MR and CT Radiomics of parotid and submandibular glands,2019,7/29/2019,89,article,Khadija Sheikh; Sang Ho Lee; Zhi Cheng; P. Lakshminarayanan; Luke Peng,Medicine; Head and neck cancer; Radiation therapy; Nuclear medicine; Radiology
p0103,https://doi.org/10.20537/nd0603009,Mutual Distances in Celestial Mechanics,2006,1/1/2006,13,article,Alain Albouy,Celestial mechanics; Classical mechanics; Physics; Theoretical physics; Astronomy
p0104,https://doi.org/10.1109/mvt.2022.3164758,Artificial Intelligence for 6G Networks: Technology Advancement and Standardization,2022,5/4/2022,46,article,Muhammad Karam Shehzad; Luca Rose; M. Majid Butt; István Z. Kovács; Mohamad Assaad,Standardization; Computer science; Software deployment; Wireless network; Timeline
p0105,https://doi.org/10.1109/isca.2014.6853232,SCORPIO: A 36-core research chip demonstrating snoopy coherence on a scalable mesh NoC with in-network ordering,2014,6/1/2014,46,article,Bhavya K. Daya; Chia-Hsin Owen Chen; Suvinay Subramanian; Woo-Cheol Kwon; Sunghyun Park,Computer science; Scalability; Directory; Cache coherence; Multi-core processor
p0106,https://doi.org/10.1101/gr.8.3.175,Base-Calling of Automated Sequencer Traces Using<i>Phred.</i> I. Accuracy Assessment,1998,3/1/1998,6943,article,Brent Ewing; LaDeana Hillier; Michael C. Wendl; Phil Green,Pace; Biology; Software; Automation; Human genome
p0107,https://doi.org/10.1371/journal.pone.0217541,Reproduction study using public data of: Development and validation of a deep learning algorithm for detection of diabetic retinopathy in retinal fundus photographs,2019,6/6/2019,268,article,Mike Voets; Kajsa Møllersen; Lars Ailo Bongo,Diabetic retinopathy; Fundus (uterus); Computer science; Algorithm; Artificial intelligence
